t_s,depth_m
1.609833469e-04,5.367184142e-06
1.624878642e-04,5.367184142e-06
1.639923815e-04,5.367184142e-06
1.654968987e-04,5.367184142e-06
1.670014160e-04,6.797576397e-06
1.685059333e-04,6.797576397e-06
1.700104505e-04,6.797576397e-06
1.715149678e-04,6.797576397e-06
1.730194850e-04,6.797576397e-06
1.745240023e-04,6.797576397e-06
1.760285196e-04,6.797576397e-06
1.775330368e-04,6.797576397e-06
1.790375541e-04,6.797576397e-06
1.805420713e-04,6.797576397e-06
1.820465886e-04,6.797576397e-06
1.835511059e-04,6.797576397e-06
1.850556231e-04,6.797576397e-06
1.865601404e-04,6.797576397e-06
1.880646576e-04,9.297576397e-06
1.895691749e-04,9.297576397e-06
1.910736922e-04,9.297576397e-06
1.925782094e-04,9.297576397e-06
1.940827267e-04,9.297576397e-06
1.955872440e-04,9.297576397e-06
1.970917612e-04,9.297576397e-06
1.985962785e-04,9.297576397e-06
2.001007957e-04,9.297576397e-06
2.016053130e-04,9.297576397e-06
2.031098303e-04,9.297576397e-06
2.046143475e-04,9.297576397e-06
2.061188648e-04,9.297576397e-06
2.076233820e-04,9.297576397e-06
2.091278993e-04,9.297576397e-06
2.106324166e-04,9.297576397e-06
2.121369338e-04,9.297576397e-06
2.136414511e-04,9.297576397e-06
2.151459684e-04,9.297576397e-06
2.166504856e-04,9.297576397e-06
2.181550029e-04,9.297576397e-06
2.196595201e-04,9.297576397e-06
2.211640374e-04,9.297576397e-06
2.226685547e-04,9.297576397e-06
2.241730719e-04,9.297576397e-06
2.256775892e-04,1.000000000e-05
2.271821064e-04,1.000000000e-05
2.286866237e-04,1.000000000e-05
2.301911410e-04,1.000000000e-05
2.316956582e-04,1.000000000e-05
2.332001755e-04,1.000000000e-05
2.347046927e-04,1.000000000e-05
2.362092100e-04,1.000000000e-05
2.377137273e-04,1.000000000e-05
2.392182445e-04,1.000000000e-05
2.407227618e-04,1.000000000e-05
2.422272791e-04,1.000000000e-05
2.437317963e-04,1.000000000e-05
2.452363136e-04,1.000000000e-05
2.467408308e-04,1.000000000e-05
2.482453481e-04,1.000000000e-05
2.497498654e-04,1.000000000e-05
2.512543826e-04,1.000000000e-05
2.527588999e-04,1.000000000e-05
2.542634171e-04,1.000000000e-05
2.557679344e-04,1.000000000e-05
2.572724517e-04,1.179757640e-05
2.587769689e-04,1.179757640e-05
2.602814862e-04,1.179757640e-05
2.617860034e-04,1.179757640e-05
2.632905207e-04,1.179757640e-05
2.647950380e-04,1.179757640e-05
2.662995552e-04,1.179757640e-05
2.678040725e-04,1.179757640e-05
2.693085898e-04,1.429757640e-05
2.708131070e-04,1.429757640e-05
2.723176243e-04,1.429757640e-05
2.738221415e-04,1.429757640e-05
2.753266588e-04,1.429757640e-05
2.768311761e-04,1.429757640e-05
2.783356933e-04,1.429757640e-05
2.798402106e-04,1.429757640e-05
2.813447278e-04,1.429757640e-05
2.828492451e-04,1.429757640e-05
2.843537624e-04,1.429757640e-05
2.858582796e-04,1.429757640e-05
2.873627969e-04,1.429757640e-05
2.888673141e-04,1.429757640e-05
2.903718314e-04,1.429757640e-05
2.918763487e-04,1.429757640e-05
2.933808659e-04,1.429757640e-05
2.948853832e-04,1.429757640e-05
2.963899005e-04,1.429757640e-05
2.978944177e-04,1.429757640e-05
2.993989350e-04,1.429757640e-05
3.009034522e-04,1.429757640e-05
3.024079695e-04,1.429757640e-05
3.039124868e-04,1.429757640e-05
3.054170040e-04,1.429757640e-05
3.069215213e-04,1.429757640e-05
3.084260385e-04,1.429757640e-05
3.099305558e-04,1.429757640e-05
3.114350731e-04,1.429757640e-05
3.129395903e-04,1.429757640e-05
3.144441076e-04,1.429757640e-05
3.159486249e-04,1.429757640e-05
3.174531421e-04,1.429757640e-05
3.189576594e-04,1.429757640e-05
3.204621766e-04,1.429757640e-05
3.219666939e-04,1.429757640e-05
3.234712112e-04,1.429757640e-05
3.249757284e-04,1.429757640e-05
3.264802457e-04,1.429757640e-05
3.279847629e-04,1.429757640e-05
3.294892802e-04,1.429757640e-05
3.309937975e-04,1.429757640e-05
3.324983147e-04,1.429757640e-05
3.340028320e-04,1.429757640e-05
3.355073492e-04,1.453152918e-05
3.370118665e-04,1.453152918e-05
3.385163838e-04,1.453152918e-05
3.400209010e-04,1.453152918e-05
3.415254183e-04,1.453152918e-05
3.430299356e-04,1.453152918e-05
3.445344528e-04,1.453152918e-05
3.460389701e-04,1.453152918e-05
3.475434873e-04,1.679757640e-05
3.490480046e-04,1.679757640e-05
3.505525219e-04,1.679757640e-05
3.520570391e-04,1.679757640e-05
3.535615564e-04,1.679757640e-05
3.550660736e-04,1.679757640e-05
3.565705909e-04,1.679757640e-05
3.580751082e-04,1.679757640e-05
3.595796254e-04,1.679757640e-05
3.610841427e-04,1.929757640e-05
3.625886599e-04,1.929757640e-05
3.640931772e-04,1.929757640e-05
3.655976945e-04,1.929757640e-05
3.671022117e-04,1.929757640e-05
3.686067290e-04,1.929757640e-05
3.701112463e-04,1.929757640e-05
3.716157635e-04,1.929757640e-05
3.731202808e-04,1.929757640e-05
3.746247980e-04,1.929757640e-05
3.761293153e-04,1.929757640e-05
3.776338326e-04,1.929757640e-05
3.791383498e-04,1.929757640e-05
3.806428671e-04,1.929757640e-05
3.821473843e-04,1.929757640e-05
3.836519016e-04,1.929757640e-05
3.851564189e-04,1.929757640e-05
3.866609361e-04,1.929757640e-05
3.881654534e-04,1.929757640e-05
3.896699706e-04,1.929757640e-05
3.911744879e-04,1.929757640e-05
3.926790052e-04,1.929757640e-05
3.941835224e-04,1.929757640e-05
3.956880397e-04,1.929757640e-05
3.971925570e-04,1.929757640e-05
3.986970742e-04,1.929757640e-05
4.002015915e-04,1.929757640e-05
4.017061087e-04,1.929757640e-05
4.032106260e-04,1.929757640e-05
4.047151433e-04,1.929757640e-05
4.062196605e-04,1.929757640e-05
4.077241778e-04,1.929757640e-05
4.092286950e-04,1.929757640e-05
4.107332123e-04,1.929757640e-05
4.122377296e-04,1.929757640e-05
4.137422468e-04,1.929757640e-05
4.152467641e-04,1.929757640e-05
4.167512814e-04,1.929757640e-05
4.182557986e-04,1.929757640e-05
4.197603159e-04,1.929757640e-05
4.212648331e-04,1.929757640e-05
4.227693504e-04,1.929757640e-05
4.242738677e-04,1.929757640e-05
4.257783849e-04,1.929757640e-05
4.272829022e-04,1.929757640e-05
4.287874194e-04,1.929757640e-05
4.302919367e-04,1.929757640e-05
4.317964540e-04,1.929757640e-05
4.333009712e-04,1.929757640e-05
4.348054885e-04,1.929757640e-05
4.363100057e-04,1.929757640e-05
4.378145230e-04,1.929757640e-05
4.393190403e-04,1.929757640e-05
4.408235575e-04,1.929757640e-05
4.423280748e-04,1.929757640e-05
4.438325921e-04,1.929757640e-05
4.453371093e-04,1.929757640e-05
4.468416266e-04,1.929757640e-05
4.483461438e-04,1.929757640e-05
4.498506611e-04,1.929757640e-05
4.513551784e-04,1.929757640e-05
4.528596956e-04,1.929757640e-05
4.543642129e-04,1.929757640e-05
4.558687301e-04,1.929757640e-05
4.573732474e-04,1.984108615e-05
4.588777647e-04,1.984108615e-05
4.603822819e-04,1.984108615e-05
4.618867992e-04,1.984108615e-05
4.633913164e-04,1.984108615e-05
4.648958337e-04,1.984108615e-05
4.664003510e-04,2.179757640e-05
4.679048682e-04,2.179757640e-05
4.694093855e-04,2.179757640e-05
4.709139028e-04,2.179757640e-05
4.724184200e-04,2.179757640e-05
4.739229373e-04,2.179757640e-05
4.754274545e-04,2.179757640e-05
4.769319718e-04,2.179757640e-05
4.784364891e-04,2.179757640e-05
4.799410063e-04,2.429757640e-05
4.814455236e-04,2.429757640e-05
4.829500408e-04,2.429757640e-05
4.844545581e-04,2.679757640e-05
4.859590754e-04,2.679757640e-05
4.874635926e-04,2.679757640e-05
4.889681099e-04,2.929757640e-05
4.904726271e-04,2.929757640e-05
4.919771444e-04,3.179757640e-05
4.934816617e-04,3.179757640e-05
4.949861789e-04,3.179757640e-05
4.964906962e-04,3.429757640e-05
4.979952135e-04,3.429757640e-05
4.994997307e-04,3.429757640e-05
5.010042480e-04,3.679757640e-05
5.025087652e-04,3.679757640e-05
5.040132825e-04,3.679757640e-05
5.055177998e-04,3.929757640e-05
5.070223170e-04,3.929757640e-05
5.085268343e-04,3.929757640e-05
5.100313515e-04,4.179757640e-05
5.115358688e-04,4.179757640e-05
5.130403861e-04,4.179757640e-05
5.145449033e-04,4.179757640e-05
5.160494206e-04,4.429757640e-05
5.175539379e-04,4.429757640e-05
5.190584551e-04,4.429757640e-05
5.205629724e-04,4.429757640e-05
5.220674896e-04,4.679757640e-05
5.235720069e-04,4.679757640e-05
5.250765242e-04,4.679757640e-05
5.265810414e-04,4.679757640e-05
5.280855587e-04,4.929757640e-05
5.295900759e-04,4.929757640e-05
5.310945932e-04,4.929757640e-05
5.325991105e-04,4.929757640e-05
5.341036277e-04,4.929757640e-05
5.356081450e-04,5.179757640e-05
5.371126622e-04,5.179757640e-05
5.386171795e-04,5.179757640e-05
5.401216968e-04,5.179757640e-05
5.416262140e-04,5.429757640e-05
5.431307313e-04,5.429757640e-05
5.446352486e-04,5.429757640e-05
5.461397658e-04,5.429757640e-05
5.476442831e-04,5.429757640e-05
5.491488003e-04,5.429757640e-05
5.506533176e-04,5.679757640e-05
5.521578349e-04,5.679757640e-05
5.536623521e-04,5.679757640e-05
5.551668694e-04,5.679757640e-05
5.566713866e-04,5.679757640e-05
5.581759039e-04,5.929757640e-05
5.596804212e-04,5.929757640e-05
5.611849384e-04,5.929757640e-05
5.626894557e-04,5.929757640e-05
5.641939729e-04,5.929757640e-05
5.656984902e-04,5.929757640e-05
5.672030075e-04,6.179757640e-05
5.687075247e-04,6.179757640e-05
5.702120420e-04,6.179757640e-05
5.717165593e-04,6.179757640e-05
5.732210765e-04,6.429757640e-05
5.747255938e-04,6.429757640e-05
5.762301110e-04,6.429757640e-05
5.777346283e-04,6.429757640e-05
5.792391456e-04,6.429757640e-05
5.807436628e-04,6.679757640e-05
5.822481801e-04,6.679757640e-05
5.837526973e-04,6.679757640e-05
5.852572146e-04,6.679757640e-05
5.867617319e-04,6.929757640e-05
5.882662491e-04,6.929757640e-05
5.897707664e-04,6.929757640e-05
5.912752836e-04,6.929757640e-05
5.927798009e-04,6.929757640e-05
5.942843182e-04,7.179757640e-05
5.957888354e-04,7.179757640e-05
5.972933527e-04,7.179757640e-05
5.987978700e-04,7.179757640e-05
6.003023872e-04,7.429757640e-05
6.018069045e-04,7.429757640e-05
6.033114217e-04,7.429757640e-05
6.048159390e-04,7.429757640e-05
6.063204563e-04,7.429757640e-05
6.078249735e-04,7.429757640e-05
6.093294908e-04,7.679757640e-05
6.108340080e-04,7.679757640e-05
6.123385253e-04,7.679757640e-05
6.138430426e-04,7.929757640e-05
6.153475598e-04,7.929757640e-05
6.168520771e-04,7.929757640e-05
6.183565944e-04,7.929757640e-05
6.198611116e-04,7.929757640e-05
6.213656289e-04,7.929757640e-05
6.228701461e-04,7.929757640e-05
6.243746634e-04,8.179757640e-05
6.258791807e-04,8.179757640e-05
